#台羅	漢字（按次數）
tshap4	插 喢 䛽 鍤 眨 歃 鑿
tshap8	咂 𨂵 𠿓 囃 喢
tshat4	察 漆 擦 賊 刷 剎 軸 𢄧 嚓 檫 礤 署 鑔 䃰
tshat8	賊
tshau1	抄 操 吵 鈔 剿 臊 耖 糙 糟 謅 音 文 炒
tshau2	草 吵 謅 臭 頭 炒 口 造 操 苞 鉤 丈 湊 稍 莆 糙 㥮
tshau3	臭 湊 鈔 氨 文 草 腥 烙 𦜓
tshau5	嘈 移 𡮦 矯 撨
tshau7	嘈
tshauh8	噪 哳 沓 䛽
tshe1	吹 差 妻 叉 炊 初 杈 棲 悽 扠 淒 岔 眚 腥 衩 郪 萋 汊 離 生 尋 青 操 尺 噴 菁 栖
tshe2	髓 扯 啐 脆 參 泚 紕 紪 撦 廁 玼 厠
tshe3	脆 切 擦 泚 砌 淋 廁 刷 掣 妻 摖 厠 細 轉 尺 叉 粞 咦 𤺅 沏 瘵 慽
tshe5	箠 棰 䠡 喳
tshe7	尋 坐 𢶀 尺 𢶓 泚 拽 讀
tsheh4	冊 策 啜 切 掣 柵 撮 廁 唸 鞈 慼 厠 脆 語 簿 促 戚 摯 輟
tsheh8	坐 唶 垂 𣽤 𫐩 鑔
tshenn1	青 生 星 腥 鮮 眚 清 親 文 泉 宿 惺
tshenn2	醒
tshenn3	腥
tshenn7	鑱 呣 𢶀
tshi1	嗤 悽 差 蛆 嘁 癡 緝 鰓 沏 蚩 媸 淒 腮 趨 鴟 攲 痴 參 期 蹉 胝 眵 嵯 七 乞 語 青 氣 敧 妻 企 戚 棲 趑 茲 雛 栖 諆 㬤 鑐 柒
tshi2	鼠 氣 侈 器 奓 刺 緝 企 此 齒 揭 誃 茝 音 乞 砌 取 跂 契 䉔 跐 亟 翅 泣 葺 尸 佌
tshi3	刺 試 翅 啻 䉔 熾 砌 拭 序 處 幟 閂 嘗 嘁 嗤 劙 莿 狙 忮 尸 弒 蛓
tshi5	持 溡 齊 徐 薺 萁 祇 衹 音 崎 奇 騏 其 期 騎 嗤 鰭 亓 嚌 岐 俟 旂
tshi7	飼 市 嗤 娶 翨 柹
tshia1	車 捙 奢 吒 硨 掐 呿 奓 推 駕 刺 袷 錁
tshia2	且 赤 恰 洽 扯 嵌 撦 側 髂
tshia3	趄
tshia5	斜 拤 音
tshiah4	赤 刺 側 鍤 嵌 倒 槊
tshiak4	雀 綽 觸
tshiak8	踔 䟉 觸
tshiam1	簽 籤 纖 參 覘 殲 僉 襜 𥽋 尖 針 怗 鐕 襝 釺 幨 笘 䊴
tshiam2	鐕 鋟 籤
tshiam3	僭 塹 槧 韂 蒨
tshiam5	橙 蕁 鑱 潛
tshian1	千 遷 韆 阡 膁 嵌 牽 扦 芊 鵮 欠 簽 褊 鉛 鋟 慳 釺
tshian2	淺 欠 芡 闡 倩 嵌 刋 錢 鵮 蒨 音 千 翦 槧 縴
tshian3	倩 茜 栫 蒨 刋 箐
tshian5	延 錢 掮 蕁 乾 前 遷 鉗 潛 鈐 田 淺 箝
tshiang1	鏘 槍 昌 沖 蹌 將 腔 娼 嗆 箐 瑲 鎗 強 搶 典 戧 戕 猖 菖 閶
tshiang2	蹌 廠 冗 嗆 戧 鬉 搶 慫 熗 趟 勥 敞
tshiang3	唱 倡 蹌 衝 沖 淌
tshiang5	沖 腸 戕 橙 強 償 牆 常 颺 嬙 斨 長 爿 薔 檣
tshiang7	淌 衝 沖 像 匠 䠀
tshiann1	清
tshiann2	請 且 成 文
tshiann3	倩
tshiann5	成 文 情
tshiap4	妾 竊 唼 啑 踥 眨 呫
tshiat4	切 沏 車 竊 跕 斷 掣 痡 䟙 敂 遒
tshiat8	𠯦 拖
tshiau1	超 摻 抄 操 搜 摶 蹺 繰 摷 㡑 橇 翹 雀 蹻 鍬 幧 怊 耖 敲 繑 劁 磽
tshiau2	殼 撬 翹 愀 悄 蹺 俏 䇌 譙 稍 棱 峭 噭
tshiau3	笑 俏 鞘 峭 悄 吻 䇌 譙
tshiau5	矯 撨 瞧 橋 喬 憔 音 翹 移 綃 鍬 譙
tshiau7	誚 譙
tshiauh4	𥬬
tshiauh8	𥬬
tshie1	切
tshie2	契 切 竊 挈
tshie5	茄 伽
tshih4	𩑾 䟙 砌 刺 閃 𥊬 廈 痦
tshih8	蠘 擮 𢯩 䟙 壓 嗤 唧 咭 扼 𡁶 讀 砌 睏 按 嘁
tshik4	粟 測 策 戚 促 冊 側 尺 刺 廁 柵 雀 觸 惻 赤 漆 膝 慼 厠 拆 切 亍 彳 𢯩 崖 蹠 嘁 哧 㯃 槭 磧 𢷾 馨 斫 斮 鶒 䜺
tshik8	摵 𢷾 䟉 踔 測 摶
tshim1	深 侵 參 駸 浸 窨 祲 梫 綅 寑 椹 篸 嵾
tshim2	寢 磣 鋟 寑 侵 梫
tshim3	沁 讖 吢
tshim5	鑱 尋 潛 岑 鑭
tshin1	親 人 瞋 嗔 輕 新 探 浸 衾 嶔
tshin2	浸 稱 沁 搇 撳 齔
tshin3	稱 凊 襯 秤 䞋 且 儭 櫬 請 鉈 齔
tshin5	矜 秦 覃 芹 檎 衾
tshing1	稱 清 青 千 蜻 鯖 親 輕 情 楚 掙 噌 鶄 穿 父 潔 鐺 𩛿 菁 醍 傖 蟶 圊 卿 晣 琤 赬 檉 氨
tshing2	請 掅 惝 慫 逞 磬 音 聳 睛 綮 筅 銃 謦 箐
tshing3	銃 蒸 衝 稱 沖 嗆 凊 聳 擤 熗 秤 倩 掅 箐 薦 蹭 荐
tshing5	松 情 榕 擎 崢 倀 棖 文 趟 承 蟲 埩 虫
tshing7	穿 頌 文 撐 掁 彊 棖
tshinn1	青 生 星 鮮 淒 腥 清 親 嗤 悽 菁 睛 文 眚 盲 宿 䛩 惺 瞠
tshinn2	醒 淺
tshinn3	腥 刺 側
tshinn5	趟 瀳 瞪
tshinnh8	嘁 嗤 𥊬
tshio1	秋 𪁎 𤞚
tshio2	笑 俏
tshio3	笑 䇌 唱 俏 吻 峭 匼 哨
tshio5	蟯 江
tshio7	照 耀
tshioh4	尺 螫 臅 迹 奭 𥼶 嫧 笑 科 襫 丈 婥
tshioh8	席 蓆 尺
tshiok4	促 觸 雀 綽 尺 捉 數 鵲 踔 趣 浞 俶 槭 焯 斮 灂 矗 逴 婼 柷 淖 爵 亍 趨 鷓 齪 碏 蜡 斫 婥 斶 擉 踧
tshiok8	浞 促 摶 𩆸 淖 觸 杓
tshiong1	充 衝 沖 昌 縱 娼 蹡 將 蓯 從 嗆 憧 蹌 倡 猖 冲 樅 槍 鏘 艟 鯧 瑲 鎗 菖 閶 茺 鏦 文 搶 傭 舂 摐 戧 憃 曈 斨 忡 瑽
tshiong2	搶 倡 縱 敞 慫 惝 聳 廠 氅 悚 淌 鞝 昶 竦
tshiong3	縱 唱 倡 從 銃 衝 嗆 蹌 橫 塑 戧 熗 蹡 愴 揰
tshiong5	牆 戕 薔 嬙 檣 徜 斨
tshiong7	匠 趟 槍
tshionn1	像 槍 鯧 相 鎗 匠
tshionn2	搶 廠 漳 唱 取
tshionn3	唱 嚏 嗆 揖
tshionn5	牆 颺 薔 語 泉 薇
tshionn7	像 上 象 匠 橡 泉 相 養
tship4	緝 咠 濕 蹐 輯 戢 楫 蕺 葺 桼 濈 石 趿 揖
tshir3	次
tshit4	七 𨑨 拭 𨑠 彳 漆 㯃 叱 亍 佚 䟙 卹
tshit8	𨑨 拭
tshiu1	秋 鬏 鬚 緧 湫 手 鰍 楸 䋺 鞦 𩭓 愀 萩 蚯 鞧 鶖 犨 抽 龜 啾 須 僽 搊 瞅
tshiu2	手 帚 首 醜 扒 箒 握 取 澤 摀 梏 裯 瞅 捵
tshiu3	啾 甃 簉 臭 樹 嚏 縐 皺 㑳
tshiu5	愁 揪 揫 遒 蝤 囚 愀 泅 犰 酋
tshiu7	樹 像 象 楊 蔭 朴 絡 橡
tshiunn1	像 槍 鯧 象 相 昌 鎗 搶 揚
tshiunn2	搶 廠 像 泉 唱 取 啾
tshiunn3	唱 嗆 像 噴 嚏 揖
tshiunn5	牆 颺 蓉 薔 象 語 睛
tshiunn7	像 上 象 橡 匠 漳 畜 廈 樹 揚 養
tshng1	穿 川 倉 瘡 村 栓 滄 艙 創 伸 尻 鑽 𤶃 傖 𥦁 瘻 姦
tshng2	𦧊 白
tshng3	竄 寸 鑽 串 穿 嗆
tshng5	床 牀 桯
tshngh4	嗆 啜
tshngh8	嗆 蹭
tsho1	臊 操 蹉 磋 搓 瘥 瑳 鹺 鱢 銼 澡 嵯
tsho2	楚 草 廁 側 刺 錯 策 脞 潦 晣
tsho3	錯 剉 噪 操 糙 脞 挫 措 造 湊 譟 銼 莝 慥 鐋 剒
tsho5	嵯 鹺
tsho7	𢶀 尋
tshoh4	冊
tshok4	簇 撮 錯 齪 蔟 觸 戳 厝 鏃 副 𢄧 剒
tshok8	鑿 戳 簇
tshong1	聰 倉 蔥 蒼 創 蹌 滄 窗 匆 瘡 戧 囟 傖 窓 鶬 艙 璁 驄 總 趨 淙 瑲
tshong2	倉 沖
tshong3	創 愴 闖
tshong5	叢 牀 戕 𩞆
tshoo1	粗 初 謅 芻 蹉
tshoo2	楚 礎 草 憷 木 㥮
tshoo3	醋 酢 措 錯 厝 簉 阼 趣 湊 腠 輳
tshoo5	雛 徂
tshop4	戳 錯 喢
tshop8	𨂵
tshu1	趨 趄 蛆 舒 跙 苴 呲 趑 菹 雌 跐 出 粗 差 軀 處 斜 敷 樞 雛 覷 疽 雎 貙 眥 嵯
tshu2	處 取 鼠 此 厝 跐 卒 泚 促 杵 茈 鮆 數 娶 楚 醋 蹙 癙 訾 簇 錯 趨 礎 締 酢 焠 覰 𢄧 踧 眥 佌 玼
tshu3	厝 次 趣 處 覰 淬 覷 娶 睛 佽 取 且 市 稽 茨 窨 狙 焠 蛓
tshu5	雌 茈 疵 雛 訾 鋤 促 眥 徂
tshu7	嗾 呲 刺 娶 跐 跙 澍 淬 厝 取 泚
tshua1	撾 髽
tshua2	聚
tshua3	蔡 娶
tshua7	娶 𤆬 拽 導 疶 泄 取 畊 引 䢦
tshuah4	掣 礤 擦 泄 㤕 掇 惴 疶 搝 閃 斜 撮 摯 䃰 錣
tshuah8	斜
tshuai2	喘
tshuai3	嘬
tshuai5	膗
tshuan1	川 汆 村 穿 詮 痊 鑹 銓 筌 荃 悛 佺 輇 釧 栓 拴 鐫 雋 醛 顓 攛 躥
tshuan2	喘 舛 篡 𦧊 闖 竄
tshuan3	串 穿 篡 竄 爨 纂 喘 釧 闖 慣 奧
tshuan5	攢 拴 全 傳 牷 遄 篅
tshuang3	闖
tshuann1	䉔 刺 閂
tshuann2	癬 剗 閂
tshuann3	串 閂 𣟴 燦 竄
tshuann7	䲂 刺
tshuat4	撮 啜 文 茁 輟 歠 蕞
tshue1	吹 炊 初 妻 縗 拍 噴 衰
tshue2	髓 揣 擦 䦟
tshue3	擦 刷 摖 切 嘬 粞 啜 慽
tshue5	箠 棰 摧
tshue7	尋 𢶀 𢶓 讀 討 拽
tshueh4	切 慼 啜
tshuh4	淬 焠 猝 覷 睛 覰
tshui1	推 催 吹 摧 炊 崔 衰 縗 締 蓷
tshui2	嘴 揣 髓 惴 璀
tshui3	嘴 碎 喙 粹 翠 口 脆 彊 給 鈀 啐 焠 毳 脺 淬 悴 吹 觜 膵 㭰
tshui5	箠 棰
tshui7	嘴
tshuinn1	村
tshun1	春 伸 偆 村 賰 剩 皴 椿 鶉 輪 逡 申 捵 杶 繓
tshun2	蠢 忖 踳 舛 寸 吋 文 春 喘 𦧊
tshun3	寸 吋
tshun5	存 蹲 尊 僔 𢙨
tshun7	存 捘 拵 挾 剩
tshut4	出 齣 卒 猝 去 焌 黢
tshut8	出
tsi1	之 支 脂 此 枝 吱 肢 雞 奇 箕 其 唧 機 嘰 芝 積 緝 氏 幾 圾 几 茲 胝 犄 期 飢 姕 吉 迹 笄 齏 徐 卮 祗 訾 指 丌 一 文 跡 止 舶 劑 滋 脊 紀 擊 啉 羈 基 荔 居 激 籠 桲 机 稽 孳 廾 饑 畸 虀 觭 屩 祇 栀 緇
tsi2	此 指 子 止 煮 只 姊 籽 旨 紫 繫 址 枳 黹 紙 芷 呰 稷 髻 趾 一 記 扺 秭 水 起 語 事 抵 住 紀 忌 姐 騎 祭 既 坻 讒 覬 旡 冀 齟 沚 咫 笫 個 主 計 多 濟 夫 至 柚 給 技 寂 跂 穄 屐 呲 砥 梓 栗 驥 暨 伎 偈 旣 嚌 罽 霽 祇 衹 祉 軹 酯 畤 茝 耔 掖
tsi3	事 情 志 至 制 誌 幟 質 製 物 識 漬 摯 忮 痣 觶 礩 贄 鷙 薦 舐 茭 𥦁 恣 輊 騺 躓
tsi5	薯 棘 藷 急 擊 薺 錢 鶿 吃 即 集 脊 疾 一 番 螆 亟 詰 蒺 唧 級 極 寂 藉 輯 籍 烤 墼 蠩 嫉 蜍 壟 髻 䩯 瘠 𠴫
tsi7	聚 舐 巳 是 漬 已 事 之 一 自 字 埾
tsia1	㘹 遮 家 此 夾 諸 嗟 佳 正 茄 加 啙 挾 袈 菹 嗻 價 間 咖 葭 嘉 茲 這 賈 伽 浹 笳 豭 罝 嵯
tsia2	者 姐 假 價 間 毑 赭 架 藉 這 賈 鍺
tsia3	蔗 者 藉 炙 借 鷓 唶 柘 䗪 正 嗻 褯 摭 乍
tsia5	誰 遮 夾 誠 㘹 袷 頰 此 正 鵊 裌 跲 浹
tsia7	炸 藉 摭 石 謝 褯 柘
tsiah4	即 隻 則 呰 脊 跡 食 者 迹 啙 雀 此 接 諸 睫 炙 文 胛 唧 就 尻 借 愖 尅 鷓 吃 纔
tsiah8	食 嚼 則 即 隻 炙 文 度 炸 呰 噍
tsiak4	唧 爵 適
tsiak8	唧 汋
tsiam1	尖 針 簪 占 瞻 漸 沾 詹 譫 佔 粘 霑 櫼 熸 殲
tsiam2	枕 怎 𩟗 䪴 𩉍 䁪 黵
tsiam3	佔 占 僭 譖 僣
tsiam5	潛 燂
tsiam7	漸 暫 𩟗 羇
tsian1	煎 氈 間 箋 淺 菅 鱣 尖 殲 沮 堅 肩 濺 監 緘 鶼 顫 羶 湔 旃 邅 鸇 文 艱 奸 櫼 搛 戔 牋 椷 饘 鰹 爨 鏊
tsian2	剪 間 翦 踐 餞 見 錢 蟫 艦 戩 譾 文 辦 戰 薦 劍 濺 箭 漸 謭 監 煎 僭 檻 鬋 俴 荐
tsian3	戰 薦 顫 賤 箭 餞 荐 瀳 煎 檻 湔 洊 牮 俴 糋
tsian5	前 錢 湔 語 瀳
tsian7	賤 踐 濺 餞 牮 荐
tsiang1	章 將 漳 漿 璋 張 剛 豇 樟 掌 音 韁 彰 僵 薑 糨 矼 礓 麕 嫜
tsiang2	掌 獎 強 長 糨 醬 漿 將 降 槳 僵 摀 蔣 糡 仉
tsiang3	將 障 醬 賬 嶂 瘴 柹
tsiann1	正 精 誠 成 赤 情 掙
tsiann2	𩟗 正 淡 䭕 弱 薄 啙 整 妌 𩉍
tsiann3	正 文 政
tsiann5	誠 成 情 正 晴
tsiann7	淨 正 僵 靖
tsiap4	接 汁 捷 䀹 睫 諸 褶 浹 給 摺 莆 聶 倢 啑 婕 眨 讋 眹 鿃
tsiap8	捷 立 咂 倢 食 十 婕 讋
tsiat4	節 折 浙 䭁 蜇 語 復 櫛 癤 晢 真 氣 摺 衷 晣
tsiat8	捷 截 蠘 睫 蜇 食 閘 節 婕 箑
tsiau1	招 焦 蕉 椒 僬 礁 跤 昭 艽 鷦 澆 釗 鵁 角 音 腳 膠 僥 教 徼 鐎
tsiau2	鳥 叫 校 覺 沼 珓 噍 噭 教 湫 筶 窖 姐 嚼 酵 爪 醮 九 音 照 伯 筊 屌 籠 咯 姊 剿 釂 徼 斠 窌 㡑
tsiau3	照 詔 醮 紀 釂 爝 劁
tsiau5	齊 褿 憔 樵 周 譙 礁 瞧 噍 劁 全 撨 繞 醮 嶕
tsiau7	噍 嚼
tsiauh4	寂 哳
tsiauh8	哳 嚼 𥬬 寂
tsie1	嗟 結 稭 接 喈 音 解 節 街 楷 鍇 䀹 秸
tsie2	藉 嗟 芥 隔 疥 借 戒 褯 廨
tsie5	結 詰 孑 截 潔 碣 桀 擷 揭 倢 訐 楬 櫭 榤
tsih4	接 摺 折 寂 褶 唧 舌 漬
tsih8	舌 折 唧 吱 哳 嘰 摺 喋 咋
tsik4	責 積 即 則 績 叔 燭 跡 蹟 𢯩 咋 稷 脊 窄 揤 迮 唧 仄 蹠 勣 笮 隻 搾 窒 迹 簀 幘 柞 踧 岝 炙 挃 鯽 捷 借 嘖 吒 襀 蹐 鶺 摭 躓 擉 賾 昃 字 職 織 側 藉 籠 籍 呰 舴 蚱 踖 楖 蝍 磧 蠋 礩 厔 桎 銍 騭 咤 癪 筰
tsik8	籍 賊 寂 藉 鰂 柞 疾 嫉 瘠 節 積 鯽 蹠 唶 踖 蒺
tsim1	斟 唚 針 湛 箴 鱵 親 簪 砧 揕 岑 甄 瑊 涔
tsim2	枕 嬸 浸
tsim3	浸 枕 禁 寖 綅 譖
tsim5	蟳 涔
tsim7	冋 蕈
tsin1	真 珍 升 禁 溱 榛 金 蓁 筋 津 甄 清 斤 臻 今 振 矜 音 秦 愖 窵 瑱 觔 畛 禛 縝 鬒 瞋 嗔 氨
tsin2	振 震 診 賑 浸 軫 疹 進 勁 盡 儘 寖 畛 胗 縝 拯 丁 禁 晉 徑 殄 紾 黰
tsin3	進 晉 證 縉 搢 賑 症 孕 振 瑱 瑨 媵
tsin5	秦 繩 𥉜 螓 仁 真 瓊
tsin7	盡 真 儘 燼 藎 贐 濜
tsing1	精 爭 鐘 增 舂 牲 衝 蒸 摐 掙 征 徵 僧 偵 正 經 眾 晶 撞 盅 曾 菁 睛 怔 旌 錚 鍾 鶄 貞 崢 鉦 罾 諍 甑 莖 耕 稉 噌 箐 鼱 憎 更 繒 腈 湞 楨 禎 烝 猙 睜 箏 矰 漳 音 驚 政 蹤 整 緻 京 収 蜻 淨 畜 璺 麠 粳 竫 氰 琤 赬 摏 㧿 橧 磳 𢴣 鬙
tsing2	整 種 掌 指 腫 踵 井 靜 政 阱 音 正 族 敬 殄 拯
tsing3	正 政 種 證 眾 症 諍 蒸 薦 甑 掙 敬 衝 怔 幀 䦛 掖
tsing5	情 前 曾 晴 松 從 層 人 繒 榕 嶒 桯 氰 䝼 𢴣
tsing7	靜 淨 贈 增 諍 從 曾 靖 松 甑 靚 繒 幀 文 撞 衝 阱 蹭 䝼 睜 㡧 榕 𢴣
tsinn1	掙 爭 精 氈 晶 櫼 棦 𣝫 㩙 笙 相 錢
tsinn2	井 茈 啙 鴿 譾 呰 𪸾 紫 妌 耳 爾 嫩 精 箭 阱 邇 駬
tsinn3	箭 搢 諍 𪸾 煎 糋 爭 掙 擠 炙 嫩
tsinn5	錢 前 檐 晴 簷 注 鈔 霤
tsinn7	舐 靜 晴 語 箭 淨
tsio1	招 蕉 椒 芎 牙
tsio2	少
tsio3	照 醮 叫 瞭 灼
tsio5	譙
tsio7	噍 嚼
tsioh4	借 蹠 墌 績 藉 襀 灼 石 文 雀 稷 拕 摭 斫
tsioh8	石 就 崖 嚼 磐 磻 坊 璇 潯
tsiok4	足 祝 酌 爵 囑 嚼 粥 矚 屬 妁 芍 躅 繳 焯 雀 燭 柷 杓 勺 喌 蠋 鬻 灼 鐲 擉 趵 釂 嘏 皭 爝 瘃 斸 斫 禚 踧
tsiok8	芍 足 嚼
tsiong1	將 章 終 彰 鐘 漳 璋 鍾 忪 障 漿 樁 鄣 螽 舂 樟 盅 麞 嫜 刣 淬 蟑 憃 螿 杖 獐 彸 摏 樅 吽
tsiong2	種 掌 獎 腫 踵 槳 蔣 仉 長 釀 瘻 瘇
tsiong3	眾 將 種 障 瘴 縱 中 醬 鄣 嶂 從 軍 仇 讎 幛
tsiong5	從 爿 崇
tsiong7	狀 從
tsionn1	章 漿 樟 蟑 泉 文 螿 麞 麕 獐
tsionn2	掌 槳 獎 文 蔣
tsionn3	醬
tsionn5	裳 醬 文
tsionn7	上 癢 語 泉 養 幛 瘴
tsior1	嚼
tsiorh8	嚼
tsip4	執 咠 緝 輯 蟄 一 汁 集 戢 楫 蕺 縶 唼
tsip8	集 寂 籍 一 入 執 及 召 輯
tsir1	書 冊
tsir2	梓
tsir5	薯
tsir7	自
tsit4	此 質 職 織 一 脊 即 鯽 疾 積 桎 窒 帶 呰 櫛 郅 蛭 鑕 機 績 侄 姪 礩 厔 銍 騭 躓
tsit8	一 植 疾 此 殖 嫉 蒺 日 寡 丈 是 枝 錢 身 兩 房 載 圓 條 叩 氣 織 注 軀 併 部 紀 叢 寸 沛 呰 偶 姪
tsiu1	睭 周 州 洲 舟 珠 週 蝤 酒 啁 章 啾 揪 鵃 𩭓 賙 盩 守 壁 糾 𥦁 樟 喌 侜 輈 譸
tsiu2	酒 守 帚 箒 雄 醍 簀 愀 柞
tsiu3	咒 蛀 啾 酒 祝 呪 蝤 僦
tsiu5	蝤
tsiu7	就 鷲 睭 僦
tsiuh4	啁 寂 稠 喌 啾
tsiuh8	啁 啾 稠
tsiunn1	章 漿 樟 蟑 麞 獐 文 癢 蠩 螿 麕
tsiunn2	掌 槳 獎 蔣 手 語
tsiunn3	醬 幛 即
tsiunn5	裳 文
tsiunn7	上 癢 章 痒 養 語 瘴
tsng1	裝 磚 妝 莊 庄 粧 贓 甎 文 飾
tsng2	指 拃 扠 鑽
tsng3	鑽 鑿 錄 貫 揻 躦
tsng5	全 旋 𩞆 嘗 唼
tsng7	狀 磚 漩 裝 旋 吮 臟 藏 舐 噀 饌 鏇 白 全
tso1	遭 慒 糟 佐 嘈 造 曹 鏖
tso2	左 棗 藻 佐 早 繰 做 皁 抓 蚤 澡 璪 側 毑 笊
tso3	做 作 佐 左 鈀 灶 慍 嘈 司 泉 併 座 閃 躁 屏 磻 挫 氨
tso5	槽 曹 嘈 漕 笮 咋 皁 舴 慒 艚 螬 痤 矬 鹺 責 則 脞 糟 褿 襗 嘖 擇 幘 瘥 迮 嵯 酇
tso7	造 坐 座 𢲵 嘈 皁 住 做 道 作 禪 皂 岝 漕 艚
tsoh4	作 昨 做 造 射 築 砟 氨
tsoh8	射 踖 擲 昨 酢 砟 岝 怍
tsok4	作 族 做 濁 捉 柞 迮
tsok8	族 濁 柞 擢 醋 嘖 怍 鏃 昨 酢 苲 砟 鑿 作 俗 磻 侗 躍 嗾 笮 濯 𩆸 鷟 筰 岝 胙
tsom1	箴
tsong1	裝 宗 蹤 莊 妝 終 棕 綜 臧 淙 庄 鬃 總 髒 樁 牂 贓 踪 悰 壯 傱 粧 傖 鬉 鞈 盅 椶 豵 鬷 琮
tsong2	總 駔 𥡥 倥 傯 攏 摠 奘 蓯
tsong3	壯 葬 綜 粽 䝋 髒 鬷
tsong5	藏 蹤 崇 莊 叢 宗 傱 衝 淙 琮 𧽵
tsong7	狀 臟 藏 撞 奘 祟
tsoo1	組 租 鄒 且 芻 陬 鄹 趄 謅 諏 鯫 騶 徂 趑 鉏 僽 搊 篘 殂
tsoo2	祖 阻 組 咀 俎 沮 鉏 走 詛 齟 駔 文 左 讒 跙 瞅 徂 殂
tsoo3	做 湊 左 驟 簉 奏 縐 皺 輳 簇 作 阻 詛 㑳 甃 僽 揍 祚 腠 蔟
tsoo5	鉏 徂 鋤 雛 殂
tsoo7	助 驟 阼 胙 祚
tsop8	咂
tsor7	鼉
tsu1	珠 書 資 滋 姿 諸 朱 痘 硃 孳 苴 粢 株 茲 菹 齊 且 柱 邾 疽 洙 齜 注 孜 沮 雎 侏 茱 誅 銖 錙 咨 訾 自 𤶎 茨 趑 狙 櫧 淄 嵫 菑 貲 緇 輜 髭 鎡 鯔 珍 守 冊 藷 瑰 坊 呲 鮭 蛆 蛛 罝 猪 瀦 孖 觜 諮 鼒
tsu2	主 子 煮 仔 梓 麈 楮 齟 渚 籽 拄 呰 茈 恣 咀 砫 褚 耔 梆 滓 鋅 乳 宮 紫 呲 潼 翥 訾 媕
tsu3	注 註 鑄 駐 蛀 炷 恣 漬 足 積 䉀 剚 自 住 薦 茭 疰 馵 翥 澍 胔 胾 骴
tsu5	薯 慈 藷 瓷 磁 孜 蜍 喌 茨 番 蠩 鶿 如 足 鏃 烤 茲 媮 螆 壟 雛 袽 䀁
tsu7	自 聚 住 柱 苴 漬 埾 肉 駐 齟 沮 字 珠 分 己 注 積 屯 咀 眥 胾
tsua1	抓 髽
tsua2	紙 文 條 姐 笊
tsua3	誓 畷
tsua5	蛇 誰
tsua7	畷 𢶀 迣 詛 誓 行 匝 若 濺
tsuah4	泏 拙 泄
tsuah8	蠘 斜 差 齟
tsuai5	膗
tsuai7	跩 𢶀 拽
tsuainn7	𢶀 扭
tsuan1	專 鑽 磚 鐫 顓 轉 耑 鱄 攢 甎 剸 朘 膞 䰖 躦
tsuan2	轉 賺 攥 剪 爨 纂 鑽 囀 斡 剸
tsuan3	鑽 攥 攢 囀
tsuan5	全 泉 荃 攢 佺 牷 醛 躦
tsuan7	鏇 撰 轉 栓 饌 譔 雋
tsuang1	訂
tsuann1	煎
tsuann2	怎 盞 笊
tsuann3	煎 炸 饡
tsuann5	泉 殘
tsuann7	濺 賤
tsuat4	拙 撮 泏 絕 拶 茁 剟 啜 梲 輟 繓
tsuat8	絕 斷
tsue1	劑 朘
tsue2	最
tsue3	做 最 贅 嘬 鈀 作 綴 晬 蕞 併 製 罪 閃 制 磻 𤺅 餟 氨
tsue5	齊 朘 摧 漼 璀
tsue7	讀 罪 多 穧 睡 𣍐 訓 過 儕 際 字 澹
tsueh4	節 癤
tsueh8	截 節
tsuh4	泏 住 漬 注 寂 捽 輟
tsuh8	注 泏
tsui1	錐 椎 鵻 隹 催 水 追 騅 觜 堆 揣 檇
tsui2	水 沝 嘴 埤 噴 醉 霤 管 澹 嚴 注 泡 淋 蛙 榼 咀 捶 觜
tsui3	醉 最 對 晬 檇 惴 贅
tsui5	摧 誰 水
tsui7	悴 誰 萃 瘁 罪 慍 拽 脺 膵 誶
tsuinn1	磚
tsuinn2	指
tsun1	尊 遵 𠘖 鐏 蹲 樽 峻 栫 肫 衠
tsun2	準 准 撙 駿 峻 隼 埻 鱒
tsun3	圳 戰 俊 顫 駿 峻 竣 濬 震 雋 埤 捘 浚 焌 畯 睃 儁 也 陂 盹 鐫 餕 夋 寯 皴 逡 諄
tsun5	船 存 前 蟬 蹲 脣 工 載 瀳 舶 撐 唇 遒 洊 栫 𢙨 艄
tsun7	陣 鏇 捘 轉 拵 銌 鱒 擰 竣
tsut4	卒 悴 捽 黢 淬 慍 啐 猝
tsut8	秫 卒 朮 捽 悴 泏 𢫖 誶
tu1	豬 㧣 猪 蛛 株 嘟 都 櫫 誅 推 堆 拄 㞘 妬 邾 厾 抵 拍 胯 跦 瀦 姝
tu2	拄 抵 適 柱 肚 度 堵 土 妒 蠹 音 讀 貯 渡 屏 杜 荰 扺
tu3	著 注 滯 拄 駐 住 柱 騙 亍 脹 迂 抵 堵 擋 着 嘟
tu5	除 鋤 廚 躇 櫥 躕 篨 儲 讀 碡 頓 瀆 滁 毒 潔 屏 屠 纛 嘟 髑 鉏 跦 㾻 裯
tu7	注 箸 嘟 拄 㾻 著 抵 堵 杜 漳 住 柱 苧 杼 漬 佇
tua1	大 幞
tua2	遰 鹼 鹹
tua3	帶 滯 遰 住 大 蹛 掬 膪
tua5	彈 沱 馱
tua7	大 舵 彈 柁 鑱 碩 怠 埔 舶 擘 潔 貝 炮 役 汰 喋 屯 馱 梲
tuah4	掇 語 奪
tuah8	奪 掇
tuan1	端 專 耑
tuan2	短 斷
tuan3	斷 鍛 踹 囀
tuan5	傳 團 剸 摶
